type,minute,game_id,player_id,club_id,description,player_in,player_assist
Goals,70,4316187,875328,10010,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,578872
Goals,72,4316187,674732,6600,", Left-footed shot, 1. Goal of the Season",0,0
Goals,83,4316187,51174,6600,", Header, 1. Goal of the Season Assist: , Corner, 1. Assist of the Season",0,277335
Substitutions,46,4316187,982549,6600,", Tactical",674732,0
Substitutions,46,4316187,388266,10010,", Tactical",162812,0
Substitutions,46,4316187,703322,6600,", Tactical",277335,0
Substitutions,46,4316187,294873,6600,", Tactical",45319,0
Substitutions,64,4316187,727751,10010,", Tactical",875328,0
Substitutions,76,4316187,236202,6600,", Tactical",193782,0
Substitutions,80,4316187,392487,10010,", Tactical",205041,0
Substitutions,80,4316187,52896,10010,", Tactical",257740,0
Substitutions,83,4316187,678439,6600,", Tactical",1095552,0
Cards,13,4316187,578872,10010,"1. Yellow card  , Foul",0,0
Cards,29,4316187,678439,6600,"1. Yellow card  , Foul",0,0
Cards,41,4316187,51174,6600,"1. Yellow card  , Dissent",0,0
Cards,88,4316187,193782,6600,"1. Yellow card  , Foul",0,0
Cards,90,4316187,275381,6600,"1. Yellow card  , Foul",0,0
Cards,90,4316187,205041,10010,1. Yellow card,0,0
Cards,90,4316187,45319,6600,"1. Yellow card  , Dissent",0,0
Cards,90,4316187,257740,10010,"1. Yellow card  , Foul",0,0
Goals,20,4316310,432895,614,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,1009030
Goals,63,4316310,1009030,614,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,341705
Substitutions,46,4316310,432895,614,", Tactical",244275,0
Substitutions,46,4316310,57229,199,", Tactical",489893,0
Substitutions,75,4316310,603122,199,", Tactical",215915,0
Substitutions,75,4316310,262262,199,", Tactical",636314,0
Substitutions,82,4316310,47592,199,", Tactical",838387,0
Substitutions,82,4316310,565009,199,", Tactical",743590,0
Substitutions,88,4316310,1009030,614,", Tactical",374136,0
Substitutions,88,4316310,321239,614,", Tactical",435485,0
Substitutions,90,4316310,397458,614,", Tactical",749559,0
Cards,45,4316310,262262,199,"2. Yellow card  , Foul",0,0
Cards,68,4316310,288431,614,"3. Yellow card  , Foul",0,0
Goals,45,4316295,574772,1023,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0,991800
Goals,71,4316295,1056993,1023,", Penalty, 1. Goal of the Season",0,0
Substitutions,58,4316295,991800,1023,", Tactical",1056993,0
Substitutions,58,4316295,971570,1023,", Tactical",735573,0
Substitutions,58,4316295,574772,1023,", Tactical",867461,0
Substitutions,62,4316295,169179,28022,", Injury",862358,0
Substitutions,70,4316295,675178,28022,", Tactical",519851,0
Substitutions,71,4316295,663578,28022,", Tactical",177534,0
Substitutions,82,4316295,642758,1023,", Tactical",627230,0
Substitutions,82,4316295,608216,1023,", Tactical",225432,0
Substitutions,83,4316295,700933,28022,", Tactical",347100,0
Substitutions,83,4316295,430761,28022,", Tactical",392809,0
Cards,43,4316295,700933,28022,"2. Yellow card  , Dissent",0,0
Cards,50,4316295,458710,1023,"3. Yellow card  , Foul",0,0
Cards,75,4316295,608216,1023,"2. Yellow card  , Foul",0,0
Cards,90,4316295,225432,1023,"1. Yellow card  , Foul",0,0
Cards,90,4316295,617687,28022,"2. Yellow card  , Foul",0,0
Goals,45,4316291,205041,10010,", Penalty, 3. Goal of the Season",0,0
Goals,63,4316291,884072,537,", Right-footed shot, 1. Goal of the Season Assist: , 1. Assist of the Season",0,364972
Goals,86,4316291,289802,10010,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",0,257740
Substitutions,46,4316291,740157,537,", Tactical",891353,0
Substitutions,57,4316291,800175,537,", Tactical",217886,0
Substitutions,58,4316291,52896,10010,", Tactical",793815,0
Substitutions,58,4316291,205041,10010,", Tactical",544259,0
Substitutions,72,4316291,884072,537,", Tactical",800732,0
Substitutions,72,4316291,273438,537,", Tactical",546036,0
Substitutions,72,4316291,727751,10010,", Tactical",257740,0
Substitutions,77,4316291,162812,10010,", Tactical",875328,0
Substitutions,78,4316291,392487,10010,", Tactical",289802,0
Substitutions,82,4316291,76746,537,", Tactical",379752,0
Cards,36,4316291,524446,10010,"1. Yellow card  , Foul",0,0
Cards,77,4316291,793815,10010,"1. Yellow card  , Foul",0,0
Cards,82,4316291,195810,537,"1. Yellow card  , Foul",0,0
Cards,90,4316291,379752,537,"1. Yellow card  , Foul",0,0
Goals,26,4316294,633212,679,", Tap-in, 1. Goal of the Season Assist: , Cross, 2. Assist of the Season",0,829969
Substitutions,10,4316294,457533,679,", Injury",593205,0
Substitutions,23,4316294,212114,978,", Tactical",671145,0
Substitutions,59,4316294,503052,679,", Tactical",149572,0
Substitutions,59,4316294,369556,679,", Tactical",177845,0
