type,minute,extra,player,club,action,game_id
Goals,20,,{'href': '/pedro/profil/spieler/432895'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': '1:0', 'description': ', Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/lorran/leistungsdatendetails/spieler/1009030/saison/2023/wettbewerb/BRA1'}}",4316310
Goals,63,,{'href': '/lorran/profil/spieler/1009030'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': '2:0', 'description': ', Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/gerson/leistungsdatendetails/spieler/341705/saison/2023/wettbewerb/BRA1'}}",4316310
Substitutions,46,,{'href': '/pedro/profil/spieler/432895'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/gabriel-barbosa/profil/spieler/244275'}, 'player_assist': {'href': None}}",4316310
Substitutions,46,,{'href': '/paulinho/profil/spieler/57229'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/yuri-alberto/profil/spieler/489893'}, 'player_assist': {'href': None}}",4316310
Substitutions,75,,{'href': '/caca/profil/spieler/603122'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/igor-coronado/profil/spieler/215915'}, 'player_assist': {'href': None}}",4316310
Substitutions,75,,{'href': '/angel-romero/profil/spieler/262262'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/gustavo-silva/profil/spieler/636314'}, 'player_assist': {'href': None}}",4316310
Substitutions,82,,{'href': '/fagner/profil/spieler/47592'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/leo-mana/profil/spieler/838387'}, 'player_assist': {'href': None}}",4316310
Substitutions,82,,{'href': '/rodrigo-garro/profil/spieler/565009'},"{'name': 'Sport Club Corinthians Paulista', 'href': '/corinthians-sao-paulo/startseite/verein/199/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/biro/profil/spieler/743590'}, 'player_assist': {'href': None}}",4316310
Substitutions,88,,{'href': '/lorran/profil/spieler/1009030'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/leo-ortiz/profil/spieler/374136'}, 'player_assist': {'href': None}}",4316310
Substitutions,88,,{'href': '/everton/profil/spieler/321239'},"{'name': 'CR Flamengo', 'href': '/flamengo-rio-de-janeiro/startseite/verein/614/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/luiz-araujo/profil/spieler/435485'}, 'player_assist': {'href': None}}",4316310
